Skin Resistance,Lux,PM4,PM5,PM6,Temperature,Humidity,Pressure,IAQ,Sound,Heart Rate
112.12903225806453,7791,228,40,0,23.63,64.025,1003.51,431270.2585699388,48.79132883794978,73.14285714285714
109.62025316455696,7791,198,34,0,23.64,64.002,1003.5,430992.5574965037,48.737600026024936,74.5631067961165
110.44585987261146,7786,198,34,0,23.63,63.989,1003.51,430161.5959297631,48.46830298969126,71.77570093457943
111.28205128205128,7774,198,34,0,23.64,63.982,1003.5,438044.12925868266,48.17821035481354,71.77570093457943
113.8562091503268,7777,165,26,0,23.65,63.965,1003.51,430715.2138247145,47.762146862810496,72.45283018867924
111.28205128205128,7805,165,26,0,23.64,63.947,1003.51,436615.41550141305,48.28300034724902,73.14285714285714
112.12903225806453,7800,165,26,0,23.65,63.958,1003.5,429333.8324191469,47.79147097873551,78.36734693877551
112.987012987013,7768,123,19,0,23.65,63.952,1003.5,430715.2138247145,48.00011403810554,75.66686080372743
112.12903225806453,7696,123,19,0,23.65,63.945,1003.5,430438.2268650504,48.04358037286743,75.29411764705883
112.987012987013,7648,123,19,0,23.65,63.958,1003.49,431548.317736319,48.12734094782102,76.8
112.987012987013,7584,99,17,0,23.66,63.952,1003.53,431826.7356887273,48.32345025420043,77.57575757575758
112.987012987013,7545,99,17,0,23.65,63.945,1003.49,430715.2138247145,48.13293698846483,78.36734693877551
112.12903225806453,7637,99,17,0,23.66,63.945,1003.53,430992.5574965037,48.23204475004701,73.84615384615384
113.8562091503268,7643,69,11,0,23.67,63.937,1003.52,438618.2362547756,48.82151442285453,72.45283018867924
112.12903225806453,7658,69,11,0,23.66,63.918,1003.54,436330.7903878619,47.977056415976335,71.11111111111111
112.12903225806453,7637,69,11,0,23.66,63.912,1003.53,437471.52319594286,47.91828268488334,75.71095571095572
112.12903225806453,7621,54,8,0,23.67,63.908,1003.52,435762.6519776315,47.768693718127246,72.45283018867924
111.28205128205128,7594,54,8,0,23.66,63.896,1003.54,429609.39939015376,48.32361556453663,73.14285714285714
112.12903225806453,7565,54,8,0,23.67,63.915,1003.53,430438.2268650504,48.14318729530749,73.14285714285714
112.12903225806453,7525,45,7,0,23.67,63.915,1003.52,432384.6507329157,48.26115583829737,77.57575757575758
111.28205128205128,7316,45,7,0,23.67,63.921,1003.53,429058.6187391353,48.413201111336896,76.8
110.44585987261146,7451,45,7,0,23.67,63.928,1003.52,431826.7356887273,48.245486043651866,75.29411764705883
110.44585987261146,7453,33,4,0,23.68,63.926,1003.51,430715.2138247145,48.839268251827846,76.03960396039604
110.44585987261146,7427,33,4,0,23.67,63.915,1003.51,433224.2316247091,51.494939740373496,76.465226867446
112.12903225806453,7419,33,4,0,23.68,63.926,1003.53,427687.8260007782,47.83654959575602,78.36734693877551
110.44585987261146,7429,24,3,0,23.69,63.9,1003.52,438330.9947714614,47.613586406312194,76.03960396039604
112.987012987013,7397,24,3,0,23.68,63.906,1003.52,432944.0092830685,48.89982174342886,75.29411764705883
111.28205128205128,7404,24,3,0,23.69,63.9,1003.51,429885.3203328709,48.08048624009718,73.14285714285714
112.12903225806453,7395,24,4,1,23.69,63.9,1003.5,430715.2138247145,47.68004536651311,74.5631067961165
109.62025316455696,7403,24,4,1,23.68,63.906,1003.51,434630.8022098056,48.09421036056919,76.03960396039604
112.12903225806453,7402,24,4,1,23.69,63.9,1003.51,436615.41550141305,47.92478910694248,73.84615384615384
110.44585987261146,7375,24,4,2,23.7,63.906,1003.49,430715.2138247145,48.28907218135189,73.84615384615384
110.44585987261146,7371,24,4,2,23.69,63.913,1003.5,427141.95831178,49.28039403372843,77.57575757575758
110.44585987261146,7392,24,4,2,23.7,63.94,1003.49,440060.10918395134,48.49173683097709,79.17525773195877
111.28205128205128,7372,15,3,2,23.7,63.96,1003.51,429058.6187391353,48.29487711941048,76.03960396039604
110.44585987261146,7322,15,3,2,23.69,63.982,1003.49,428509.248537955,47.91838689169936,74.5631067961165
109.62025316455696,7225,15,3,2,23.7,64.015,1003.51,435762.6519776315,48.76463342174629,73.14285714285714
110.44585987261146,7137,15,3,2,23.71,64.044,1003.5,431826.7356887273,48.428037714430936,72.45283018867924
109.62025316455696,7133,15,3,2,23.7,64.058,1003.51,427687.8260007782,50.55807197712367,79.17525773195877
112.987012987013,7128,15,3,2,23.71,64.091,1003.51,427961.28337567975,48.53849284679716,76.03960396039604
112.12903225806453,7130,12,2,2,23.71,64.113,1003.49,429333.8324191469,48.54455692687334,76.03960396039604
111.28205128205128,7128,12,2,2,23.71,64.133,1003.51,428235.09066405566,47.935050589855,76.8
108.80503144654088,7116,12,2,2,23.71,64.16,1003.5,430161.5959297631,48.102784137525646,79.17525773195877
108.80503144654088,7122,12,2,2,23.72,64.178,1003.52,427687.8260007782,48.14588073317323,80.0
108.80503144654088,7179,12,2,2,23.71,64.196,1003.49,432944.0092830685,48.94168782895792,80.0
110.44585987261146,7185,12,2,2,23.72,64.241,1003.51,433504.8169486647,49.41049064938384,76.03960396039604
109.62025316455696,7179,12,3,3,23.73,64.254,1003.5,427687.8260007782,48.3865899676935,74.5631067961165
109.62025316455696,7269,12,3,3,23.72,64.261,1003.48,426054.3925151938,47.772443404441184,78.4
109.62025316455696,7251,12,3,3,23.72,64.296,1003.5,427414.7178690186,48.16086039405379,75.29411764705883
