Skin Resistance,Lux,PM4,PM5,PM6,Temperature,Humidity,Pressure,IAQ,Sound,Heart Rate
141.25984251968504,11249.0,21.0,7.0,4.0,21.05,66.984,1001.03,477752.5818837066,48.47513275604236,69.81818181818181
143.84,11193.0,21.0,7.0,4.0,21.05,66.984,1001.03,475715.2595287127,48.68616959096799,73.84615384615384
142.53968253968253,11130.0,18.0,6.0,4.0,21.06,66.984,1001.02,474703.10044397885,48.12449046251789,73.14285714285714
142.53968253968253,11080.0,18.0,6.0,4.0,21.05,66.971,1001.04,475715.2595287127,48.14847047916753,73.84615384615384
142.53968253968253,11037.0,18.0,6.0,4.0,21.05,66.978,1001.04,476731.7440797147,48.291704647467206,71.11111111111111
143.84,11006.0,18.0,6.0,4.0,21.05,66.971,1001.02,479463.7283461984,48.56857619963748,71.11111111111111
142.53968253968253,10988.0,18.0,6.0,4.0,21.03,66.952,1001.0,477752.5818837066,48.67071471682911,74.5631067961165
141.25984251968504,10971.0,18.0,6.0,4.0,21.02,66.937,1001.01,479463.7283461984,48.301554682298416,74.20463032113517
141.25984251968504,10949.0,21.0,7.0,5.0,21.02,66.937,1001.01,479120.5191559192,48.43423370244776,73.14285714285714
142.53968253968253,10920.0,21.0,7.0,5.0,21.01,66.944,1001.01,477752.5818837066,48.63103695463656,72.45283018867924
142.53968253968253,10898.0,21.0,7.0,5.0,21.01,66.964,1001.01,480496.31249304017,48.92028267615535,75.29411764705883
143.84,10876.0,24.0,8.0,5.0,21.01,66.978,1001.04,479807.4295926752,48.65089390575128,75.29411764705883
141.25984251968504,10852.0,24.0,8.0,5.0,21.0,66.978,1001.04,476731.7440797147,47.60051282667269,75.29411764705883
143.84,10808.0,24.0,8.0,5.0,21.0,67.007,1001.04,480151.623954294,47.9935603050452,71.77570093457943
141.25984251968504,10763.0,27.0,9.0,5.0,21.01,67.02,1001.04,481880.0297660423,48.2736788467678,71.77570093457943
142.53968253968253,10731.0,27.0,9.0,5.0,21.0,67.027,1001.05,477752.5818837066,47.846529233036975,73.84615384615384
141.25984251968504,10709.0,27.0,9.0,5.0,21.0,67.054,1001.03,478777.8009659228,48.4560885052316,72.45283018867924
