Skin Resistance,Lux,PM4,PM5,PM6,Temperature,Humidity,Pressure,IAQ,Sound,Heart Rate
87.22513089005236,10852,15,4,0,23.62,64.978,1009.76,393956.158717957,48.58781091870828,73.84615384615384
88.35978835978837,10857,15,4,0,23.61,64.951,1009.77,392569.80446891545,48.53677165917546,71.77570093457943
88.93617021276596,10858,15,4,0,23.61,64.938,1009.77,401037.4469010861,48.62733790295095,72.45283018867924
87.78947368421052,10846,6,1,0,23.62,64.909,1009.76,396523.4053555422,49.14773239196075,71.77570093457943
87.78947368421052,10864,6,1,0,23.61,64.882,1009.78,396523.4053555422,48.95195009917762,74.5631067961165
87.22513089005236,10867,6,1,0,23.61,64.875,1009.78,397465.2650052841,48.11970670287689,71.77570093457943
87.78947368421052,10865,9,2,1,23.61,64.846,1009.77,399362.4715553679,49.372723549532544,71.77570093457943
88.35978835978837,10863,9,2,1,23.6,64.82,1009.76,398411.6097010587,49.129048585662986,94.0696686491079
88.93617021276596,10869,9,2,1,23.6,64.806,1009.76,400317.8829880104,49.017287010889895,53.70629370629371
90.10752688172045,10869,6,1,1,23.6,64.786,1009.78,400557.4505465377,48.445733926296704,79.17525773195877
89.5187165775401,10868,6,1,1,23.6,64.75,1009.77,396523.4053555422,48.80069105669725,79.17525773195877
90.10752688172045,10870,6,1,1,23.6,64.744,1009.79,401277.8767297663,48.850117962634016,78.36734693877551
90.70270270270272,10880,6,1,1,23.61,64.73,1009.78,405901.4487728019,48.70312354590978,76.03960396039604
90.70270270270272,10877,6,1,1,23.6,64.724,1009.76,400557.4505465377,48.92333093497475,75.29411764705883
91.30434782608695,10875,6,1,1,23.6,64.737,1009.78,401037.4469010861,48.74925386563582,77.57575757575758
92.52747252747253,10871,9,2,1,23.61,64.73,1009.78,402242.4858261345,48.54968506182707,75.29411764705883
91.91256830601093,10856,9,2,1,23.6,64.717,1009.77,401759.6022808831,48.61748621639819,77.57575757575758
93.14917127071824,10875,9,2,1,23.6,64.708,1009.79,402968.9915333287,48.85694882304674,75.29411764705883
92.52747252747253,10859,6,2,1,23.61,64.681,1009.78,403454.7883976397,48.937200965314815,74.5631067961165
93.14917127071824,10853,6,2,1,23.59,64.637,1009.77,401759.6022808831,48.75508738560077,74.5631067961165
93.7777777777778,10868,6,2,1,23.59,64.611,1009.77,403941.7579761891,48.74249377798651,73.84615384615384
93.7777777777778,10861,6,2,1,23.59,64.591,1009.77,404674.4204890595,48.75740850246319,74.5631067961165
95.0561797752809,10841,6,2,1,23.58,64.555,1009.77,404429.904520509,49.27476957032588,76.8
94.41340782122904,10837,6,2,1,23.57,64.523,1009.78,405409.7456155935,48.54518541267803,76.41980198019802
95.0561797752809,10852,9,3,1,23.57,64.497,1009.79,404674.4204890595,49.22520839499519,77.57575757575758
95.70621468926556,10837,9,3,1,23.55,64.442,1009.79,404919.2323027075,49.07478635968396,76.03960396039604
95.70621468926556,10849,9,3,1,23.54,64.437,1009.8,407135.94073237473,48.68717044046277,75.29411764705883
95.70621468926556,10839,12,4,1,23.54,64.41,1009.78,406147.7478967639,49.16418030464004,74.5631067961165
95.70621468926556,10836,12,4,1,23.52,64.397,1009.76,406888.4419796176,48.73775998587082,74.5631067961165
96.36363636363636,10833,12,4,1,23.51,64.372,1009.77,406888.4419796176,48.80970524056043,74.5631067961165
97.02857142857144,10847,15,5,1,23.5,64.339,1009.76,408128.954020932,48.993989904684206,74.5631067961165
95.70621468926556,10845,15,5,1,23.48,64.295,1009.76,407631.8426182447,48.87462852487385,73.85298196948682
97.02857142857144,10847,15,5,1,23.48,64.288,1009.76,409126.8231202818,48.714831888970615,74.5631067961165
97.02857142857144,10841,18,6,2,23.47,64.263,1009.77,410884.8859290563,48.97002890385726,77.57575757575758
97.70114942528735,10846,18,6,2,23.45,64.238,1009.78,409627.5897430007,49.06669990648635,74.5631067961165
97.70114942528735,10853,18,6,2,23.44,64.253,1009.76,408377.9646747576,49.35884028578008,76.03960396039604
99.06976744186046,10843,15,5,1,23.44,64.253,1009.77,410884.8859290563,49.10260509502039,78.36734693877551
99.06976744186046,10844,15,5,1,23.42,64.235,1009.77,410381.0424053076,49.29834453076327,76.03960396039604
99.76608187134502,10845,15,5,1,23.41,64.228,1009.78,410884.8859290563,48.95033532176292,73.14285714285714
99.06976744186046,10853,18,5,1,23.41,64.215,1009.79,412658.1231396718,48.84862763058504,74.59123055162658
99.06976744186046,10855,18,5,1,23.39,64.171,1009.74,409878.4330359573,48.69302135786836,75.29411764705883
99.76608187134502,10850,18,5,1,23.38,64.151,1009.75,411137.2719202304,48.73616659497236,77.57575757575758
101.18343195266272,10864,27,8,1,23.37,64.139,1009.77,413167.57700499694,48.54517027982617,75.29411764705883
101.18343195266272,10856,27,8,1,23.35,64.153,1009.77,412149.92408684647,48.30617670643673,73.84615384615384
101.18343195266272,10855,27,8,1,23.34,64.183,1009.76,413678.2903360202,48.39680465035361,76.8
101.18343195266272,10853,24,7,1,23.33,64.178,1009.77,415475.7730096434,48.68277844370527,75.29411764705883
101.90476190476193,10837,24,7,1,23.31,64.182,1009.76,411642.9752162164,48.81384112207413,71.77570093457943
102.63473053892216,10830,24,7,1,23.3,64.208,1009.77,412658.1231396718,48.93283523640279,73.49450549450549
102.63473053892216,10835,24,7,1,23.29,64.244,1009.78,413167.57700499694,48.522895686756,72.45283018867924
101.90476190476193,10825,24,7,1,23.27,64.252,1009.79,413422.7759455732,48.717928423419565,73.84615384615384
102.63473053892216,10844,24,7,1,23.26,64.278,1009.75,412912.6929304853,49.10031626010985,73.84615384615384
103.3734939759036,10838,27,8,1,23.26,64.314,1009.75,414446.73206633545,48.820218096439405,72.45283018867924
103.3734939759036,10829,27,8,1,23.24,64.364,1009.76,414703.5141232764,48.5133319139544,73.84615384615384
103.3734939759036,10826,27,8,1,23.24,64.411,1009.77,414190.2678089759,48.79131983420476,73.14285714285714
104.8780487804878,10822,24,7,1,23.23,64.42,1009.75,415733.8321903173,48.95563501678159,73.14285714285714
105.6441717791411,10831,24,7,1,23.21,64.415,1009.76,414190.2678089759,49.1427056917512,73.50796849239788
104.8780487804878,10831,24,7,1,23.2,64.447,1009.78,417288.9444350805,48.83197917709836,71.11111111111111
105.6441717791411,10832,24,7,1,23.19,64.423,1009.76,415733.8321903173,49.10792607839405,73.14285714285714
104.8780487804878,10828,24,7,1,23.17,64.385,1009.76,415218.03400165634,48.71244963886368,73.14285714285714
106.41975308641976,10828,24,7,1,23.16,64.378,1009.78,418332.1655660661,48.88153758251982,71.77570093457943
107.20496894409938,10835,24,7,1,23.12,64.262,1009.78,418332.1655660661,48.78080407448909,71.77570093457943
107.20496894409938,10848,21,6,0,23.11,64.244,1009.76,419118.01091401867,48.55398268213046,77.18787878787879
107.20496894409938,10853,21,6,0,23.09,64.257,1009.77,417809.90380135307,48.76390590858792,79.17525773195877
105.6441717791411,10856,21,6,0,23.08,64.295,1009.77,418593.7863750405,48.29828085852457,78.36734693877551
105.6441717791411,10857,24,7,0,23.08,64.321,1009.79,418593.7863750405,48.60046244642383,77.57575757575758
99.76608187134502,10858,24,7,0,23.06,64.339,1009.78,420170.4089527963,48.236928280662944,78.36734693877551
98.3815028901734,10847,24,7,0,23.06,64.372,1009.79,418593.7863750405,48.48322753132901,77.57575757575758
98.3815028901734,10858,21,7,0,23.06,64.385,1009.79,419906.81427463,48.10514823185156,76.03960396039604
94.41340782122904,10839,21,7,0,23.04,64.396,1009.79,418855.73461932654,48.52700053446693,79.17525773195877
93.14917127071824,10832,21,7,0,23.04,64.389,1009.77,419906.81427463,48.13287907846962,77.98762886597939
91.91256830601093,10831,12,4,0,23.03,64.389,1009.78,420698.5923808444,48.28981999908755,80.84210526315789
89.5187165775401,10826,12,4,0,23.02,64.397,1009.78,419906.81427463,48.32808954418685,78.36734693877551
88.93617021276596,10829,12,4,0,23.01,64.42,1009.78,420698.5923808444,48.62639567210629,77.57575757575758
88.35978835978837,10827,15,5,0,23.01,64.433,1009.79,421228.1054084851,48.29466902409752,77.57575757575758
83.95939086294416,10829,15,5,0,22.99,64.423,1009.76,419643.5501227122,48.58055370465627,77.57575757575758
82.91457286432161,10835,15,5,0,22.99,64.432,1009.76,422291.1403952833,48.88258115400113,75.29411764705883
81.38613861386139,10836,15,5,0,22.99,64.438,1009.77,422557.7380269318,48.87826580340543,76.03960396039604
81.38613861386139,10835,15,5,0,22.97,64.44,1009.77,421228.1054084851,48.36722733233917,76.4349376114082
81.38613861386139,10837,15,5,0,22.97,64.453,1009.77,421758.9530625602,48.61961278996308,77.57575757575758
80.39215686274511,10846,15,5,1,22.97,64.46,1009.77,422291.1403952833,48.24434269457275,79.17525773195877
80.39215686274511,10847,15,5,1,22.95,64.464,1009.77,421228.1054084851,48.81408293045781,78.36734693877551
78.93719806763285,10846,15,5,1,22.95,64.484,1009.77,421228.1054084851,48.13859010719855,78.36734693877551
77.52380952380953,10856,15,5,1,22.95,64.497,1009.78,422557.7380269318,48.48534800741924,78.36734693877551
77.52380952380953,10865,15,5,1,22.93,64.508,1009.77,420963.1823811308,48.92845945921392,77.57575757575758
76.60377358490567,10865,15,5,1,22.93,64.515,1009.78,421493.36209205154,48.38846114603643,77.57575757575758
74.81481481481482,10868,21,7,2,22.92,64.508,1009.78,423895.7913714339,48.21386485797927,78.37550765385816
75.25581395348837,10860,21,7,2,22.91,64.491,1009.78,422824.6724844006,48.41257488706883,79.17525773195877
74.37788018433179,10873,21,7,2,22.91,64.52,1009.78,423359.554433352,48.738618860466,76.8
72.66968325791856,10863,27,7,2,22.91,64.547,1009.79,423895.7913714339,48.530742537734255,76.03960396039604
72.66968325791856,10854,27,7,2,22.9,64.56,1009.78,423359.554433352,48.26392338677663,78.36734693877551
73.0909090909091,10851,27,7,2,22.9,64.573,1009.79,423895.7913714339,48.60220238537074,78.36734693877551
72.25225225225225,10862,30,8,2,22.9,64.58,1009.78,423627.5032071561,48.09482722696465,75.29411764705883
71.42857142857143,10857,30,8,2,22.88,64.603,1009.77,424972.3508624433,48.56318056677783,76.03960396039604
70.61946902654867,10858,30,8,2,22.88,64.596,1009.78,425242.34569033526,48.11906114843766,73.85298196948682
70.61946902654867,10864,27,7,2,22.87,64.574,1009.79,425512.6838047284,48.10490959912545,75.29411764705883
70.22026431718061,10859,27,7,2,22.86,64.548,1009.76,424433.3884539634,48.37734527217901,75.29411764705883
70.61946902654867,10859,27,7,2,22.85,64.564,1009.77,426054.3925151938,48.62039611352272,75.29411764705883
70.61946902654867,10864,30,8,2,22.85,64.571,1009.77,425783.3658607496,48.249238334378425,76.03960396039604
71.02222222222223,10860,30,8,2,22.83,64.567,1009.77,422024.8789523319,48.403484714240335,76.03960396039604
71.83856502242152,10866,30,8,2,22.83,64.59,1009.77,422024.8789523319,48.25577103401938,78.36734693877551
72.25225225225225,10863,39,11,3,22.83,64.596,1009.77,426597.4822549032,48.46794438101502,77.57575757575758
72.25225225225225,10854,39,11,3,22.81,64.598,1009.77,424164.4195714145,48.05300891552322,79.17525773195877
72.25225225225225,10883,39,11,3,22.81,64.604,1009.77,425242.34569033526,47.86208944240404,76.8
72.66968325791856,10879,39,11,3,22.81,64.618,1009.77,426869.5466621466,47.57091484281897,79.17525773195877
71.02222222222223,10862,39,11,3,22.8,64.625,1009.76,425512.6838047284,47.658893117679575,77.57575757575758
70.22026431718061,10870,39,11,3,22.8,64.64,1009.76,426597.4822549032,47.62762316933732,75.29411764705883
70.22026431718061,10872,42,12,3,22.8,64.66,1009.76,426869.5466621466,47.7757373198273,79.17525773195877
70.61946902654867,10875,42,12,3,22.79,64.677,1009.78,424702.6986675882,48.475499807205935,77.57575757575758
71.02222222222223,10875,42,12,3,22.79,64.704,1009.78,425512.6838047284,48.20969964294568,76.8
70.61946902654867,10886,39,11,2,22.79,64.718,1009.77,426869.5466621466,48.04939484479109,77.58367346938775
70.61946902654867,10889,39,11,2,22.78,64.712,1009.76,427141.95831178,48.16463309819088,74.5631067961165
71.42857142857143,10879,39,11,2,22.78,64.706,1009.77,424972.3508624433,48.43322695824263,75.29411764705883
69.43231441048034,10876,42,12,2,22.78,64.686,1009.77,428509.248537955,48.30814336734964,74.5631067961165
69.04347826086956,10848,42,12,2,22.76,64.667,1009.77,427141.95831178,48.15893451944883,74.5631067961165
69.43231441048034,10843,42,12,2,22.75,64.656,1009.76,429333.8324191469,48.41221228907165,76.8
69.43231441048034,10862,36,10,1,22.74,64.662,1009.77,429333.8324191469,48.30613993617655,75.29411764705883
69.82456140350878,10857,36,10,1,22.72,64.678,1009.74,428235.09066405566,47.961320295892136,76.03960396039604
69.82456140350878,10855,36,10,1,22.72,64.691,1009.75,429885.3203328709,48.47461808954929,76.8
69.82456140350878,10852,30,10,2,22.71,64.693,1009.76,428509.248537955,48.589819501291394,76.8
70.61946902654867,10853,30,10,2,22.69,64.69,1009.76,427687.8260007782,48.25565888478079,76.03960396039604
71.02222222222223,10859,30,10,2,22.69,64.717,1009.74,427961.28337567975,48.173565621880265,75.29411764705883
70.61946902654867,10852,30,10,2,22.69,64.73,1009.75,430992.5574965037,48.28719328580704,77.57575757575758
70.22026431718061,10867,30,10,2,22.67,64.741,1009.76,429885.3203328709,48.52074287697575,75.29411764705883
70.22026431718061,10849,30,10,2,22.67,64.768,1009.76,431826.7356887273,48.75974784704265,76.8
69.82456140350878,10864,33,11,2,22.68,64.774,1009.76,427414.7178690186,48.46750432925139,76.8
69.43231441048034,10851,33,11,2,22.67,64.781,1009.75,429333.8324191469,48.43332008634165,75.66686080372743
69.04347826086956,10843,33,11,2,22.67,64.788,1009.75,430161.5959297631,48.08507866196868,75.29411764705883
68.65800865800867,10860,30,10,2,22.67,64.781,1009.75,432664.149219834,48.175443767552366,74.5631067961165
69.04347826086956,10851,30,10,2,22.65,64.749,1009.76,430438.2268650504,48.58146716718798,76.03960396039604
69.43231441048034,10848,30,10,2,22.65,64.742,1009.77,431548.317736319,48.92970084755149,73.14285714285714
69.43231441048034,10856,33,11,2,22.64,64.729,1009.77,432105.5131220368,48.49617881505963,75.29411764705883
69.43231441048034,10847,33,11,2,22.63,64.709,1009.77,429609.39939015376,48.51161091703281,75.29411764705883
69.04347826086956,10852,33,11,2,22.62,64.697,1009.78,430161.5959297631,48.528233191913024,74.5631067961165
69.82456140350878,10858,33,11,3,22.61,64.668,1009.79,435195.99117057794,47.99927343835327,74.59123055162658
70.22026431718061,10852,33,11,3,22.6,64.635,1009.77,430992.5574965037,48.35862509624471,73.14285714285714
70.22026431718061,10855,33,11,3,22.59,64.616,1009.75,431548.317736319,48.02586521991516,73.84615384615384
70.61946902654867,10853,30,10,3,22.58,64.596,1009.76,432664.149219834,48.46578131575,73.14285714285714
70.61946902654867,10853,30,10,3,22.56,64.584,1009.77,434067.0793682861,47.94600013583035,74.5631067961165
69.43231441048034,10856,30,10,3,22.55,64.559,1009.77,435195.99117057794,47.98908512877272,74.5631067961165
69.43231441048034,10855,48,14,4,22.54,64.559,1009.78,434348.7578809172,47.86917037103233,74.5631067961165
69.04347826086956,10856,48,14,4,22.52,64.554,1009.78,432384.6507329157,48.56492115444032,76.03960396039604
70.22026431718061,10853,48,14,4,22.52,64.583,1009.77,434913.2130680437,48.5113178008852,75.32307692307691
69.82456140350878,10858,45,13,4,22.51,64.605,1009.77,436615.41550141305,48.49609016937927,76.8
69.82456140350878,10869,45,13,4,22.49,64.615,1009.77,433224.2316247091,48.466038226221166,76.03960396039604
70.22026431718061,10858,45,13,4,22.49,64.642,1009.77,434067.0793682861,48.59182473604173,77.57575757575758
70.61946902654867,10862,42,12,4,22.49,64.655,1009.78,434067.0793682861,48.5876281469998,74.5631067961165
70.22026431718061,10856,42,12,4,22.47,64.666,1009.75,432105.5131220368,48.76346303366738,77.57575757575758
69.82456140350878,10859,42,12,4,22.47,64.693,1009.75,433224.2316247091,48.46749660687666,76.03960396039604
70.22026431718061,10857,39,11,3,22.47,64.722,1009.76,436330.7903878619,48.448210933422,77.57575757575758
69.82456140350878,10848,39,11,3,22.46,64.73,1009.78,434348.7578809172,48.42340042831033,77.97155225726655
67.8969957081545,10850,39,11,3,22.46,64.759,1009.75,433785.76596066897,48.60989499520712,79.17525773195877
67.8969957081545,10844,36,10,3,22.46,64.772,1009.78,437185.7811764026,48.514130474937126,79.17525773195877
67.14893617021276,10839,36,10,3,22.45,64.779,1009.77,435195.99117057794,48.81487507362607,79.17525773195877
67.14893617021276,10853,36,10,3,22.44,64.794,1009.77,436330.7903878619,48.31316300542567,79.17525773195877
67.52136752136752,10854,36,10,3,22.44,64.794,1009.77,436900.4121882269,48.35623675800984,78.36734693877551
67.14893617021276,10867,36,10,3,22.43,64.801,1009.77,434630.8022098056,48.086618551391936,80.0
67.8969957081545,10866,36,10,3,22.43,64.816,1009.77,437757.6389787601,47.89383333568574,79.17525773195877
65.69037656903767,10869,39,11,3,22.43,64.816,1009.77,434630.8022098056,48.67738151085757,78.37550765385816
65.69037656903767,10860,39,11,3,22.41,64.813,1009.77,436615.41550141305,48.68306804295828,75.29411764705883
67.14893617021276,10870,39,11,3,22.41,64.826,1009.77,434067.0793682861,48.65745992435634,75.29411764705883
67.8969957081545,10878,36,10,2,22.42,64.82,1009.77,440349.62209054286,48.23621572012178,76.03960396039604
68.27586206896552,10876,36,10,2,22.4,64.825,1009.79,436615.41550141305,48.42667771240789,76.03960396039604
67.8969957081545,10882,36,10,2,22.4,64.812,1009.79,436046.5361213716,49.00712535361404,76.8
68.65800865800867,10889,33,9,1,22.4,64.791,1009.8,438330.9947714614,48.95681887145438,79.17525773195877
69.04347826086956,10882,33,9,1,22.39,64.753,1009.79,438618.2362547756,48.72240431596219,76.8
69.04347826086956,10878,33,9,1,22.38,64.73,1009.8,436900.4121882269,49.34519094507853,78.37550765385816
68.65800865800867,10895,33,9,1,22.38,64.69,1009.78,440349.62209054286,48.47058650945707,76.8
67.8969957081545,10888,33,9,1,22.36,64.658,1009.78,437471.52319594286,48.47193275741301,76.03960396039604
66.05042016806723,10889,33,9,1,22.35,64.646,1009.79,436615.41550141305,48.70821086524791,76.8
64.62809917355372,10880,18,6,0,22.35,64.633,1009.79,438330.9947714614,48.653906623925,73.84615384615384
64.62809917355372,10870,18,6,0,22.34,64.621,1009.75,436900.4121882269,48.58633002913121,76.03960396039604
64.62809917355372,10903,18,6,0,22.34,64.635,1009.76,438618.2362547756,48.3820859826544,75.29411764705883
63.25203252032521,10909,18,6,0,22.33,64.623,1009.76,440349.62209054286,48.08546242900129,74.5631067961165
62.24899598393574,10896,18,6,0,22.32,64.609,1009.78,439193.850093408,48.1217765496212,77.18787878787879
62.24899598393574,10901,18,6,0,22.33,64.609,1009.78,440060.10918395134,48.16827437973941,76.03960396039604
62.58064516129033,10900,18,6,0,22.33,64.603,1009.77,440060.10918395134,48.53180811384857,78.36734693877551
60.94861660079052,10892,18,6,0,22.32,64.596,1009.76,439193.850093408,48.147269073608896,77.57575757575758
61.26984126984127,10888,18,6,0,22.32,64.596,1009.75,442386.9280500984,47.813560570449525,75.29411764705883
59.688715953307394,10903,21,7,0,22.32,64.589,1009.78,441220.450958603,48.15713698033764,79.17525773195877
58.46743295019157,10901,21,7,0,22.31,64.578,1009.78,441220.450958603,48.1715773736093,80.0
57.87072243346008,10900,21,7,0,22.31,64.578,1009.78,442972.48256629286,48.41140451093459,80.0
